Subscriber ID,Show,Episodes Watched,Episode Length (m)
2000,Walking Dead,2.63,40
2000,Lost,0.6,45
2000,Weeds,0.27,30
2000,Mad Men,0.4,45
2000,Pony,0.07,30
2000,Lorax,0.03,30
1999,Walking Dead,3.2,40
1999,Lost,1.13,45
1999,Pony,0.17,30
1999,Weeds,0.13,30
1999,Lorax,0.1,30
1999,Mad Men,0.04,45
1998,Walking Dead,2.77,40
1998,Lost,0.82,45
1998,Weeds,0.37,30
1998,Mad Men,0.58,45
1998,Pony,0.1,30
1998,Lorax,0.03,30
1997,Walking Dead,2.68,40
1997,Lost,0.76,45
1997,Mad Men,0.76,45
1997,Weeds,0.37,30
1997,Lorax,0.23,30
1997,Pony,0.17,30
1996,Walking Dead,3.22,40
1996,Lost,1.27,45
1996,Weeds,0.3,30
1996,Mad Men,0.36,45
1996,Lorax,0.17,30
1996,Pony,0.1,30
1995,Walking Dead,3.3,40
1995,Lost,1.44,45
1995,Weeds,0.27,30
1995,Mad Men,0.36,45
1995,Pony,0.03,30
1995,Lorax,0.03,30
1994,Walking Dead,3.17,40
1994,Lost,1.2,45
1994,Weeds,0.2,30
1994,Lorax,0.13,30
1994,Pony,0.1,30
1994,Mad Men,0.13,45
1993,Walking Dead,3.57,40
1993,Lost,1.58,45
1993,Lorax,0.2,30
1993,Weeds,0.17,30
1993,Pony,0.13,30
1993,Mad Men,0.04,45
1992,Walking Dead,3.18,40
1992,Lost,1.29,45
1992,Weeds,0.23,30
1992,Mad Men,0.31,45
1992,Lorax,0.13,30
1992,Pony,0.1,30
1991,Walking Dead,2.63,40
1991,Lost,0.73,45
1991,Mad Men,0.49,45
1991,Weeds,0.23,30
1991,Pony,0.07,30
1991,Lorax,0.03,30
1990,Walking Dead,3.02,40
1990,Lost,1.11,45
1990,Weeds,0.1,30
1990,Pony,0.07,30
1990,Lorax,0.03,30
1990,Mad Men,0.04,45
1989,Walking Dead,3.25,40
1989,Lost,1.36,45
1989,Weeds,0.17,30
1989,Mad Men,0.27,45
1989,Pony,0.07,30
1989,Lorax,0.03,30
1988,Walking Dead,2.9,40
1988,Lost,1,45
1988,Lorax,0.23,30
1988,Pony,0.2,30
1988,Mad Men,0.09,45
1988,Weeds,0.03,30
1987,Walking Dead,3.42,40
1987,Lost,1.6,45
1987,Weeds,0.1,30
1987,Lorax,0.1,30
1987,Pony,0.07,30
1987,Mad Men,0,45
1986,Walking Dead,2.95,40
1986,Lost,1,45
1986,Lorax,0.27,30
1986,Pony,0.2,30
1986,Weeds,0.13,30
1986,Mad Men,0.22,45
1985,Walking Dead,2.93,40
1985,Lost,1.02,45
1985,Pony,0.2,30
1985,Lorax,0.13,30
1985,Weeds,0.1,30
1985,Mad Men,0,45
1984,Walking Dead,3.03,40
1984,Lost,1.2,45
1984,Weeds,0.3,30
1984,Pony,0.23,30
1984,Mad Men,0.44,45
1984,Lorax,0.17,30
1983,Walking Dead,2.98,40
1983,Lost,1.22,45
1983,Lorax,0.13,30
1983,Pony,0.07,30
1983,Mad Men,0,45
1983,Weeds,0,30
1982,Walking Dead,2.72,40
1982,Lost,1,45
1982,Mad Men,0.4,45
1982,Weeds,0.2,30
1982,Pony,0.17,30
1982,Lorax,0.07,30
1981,Walking Dead,3.37,40
1981,Lost,1.64,45
1981,Weeds,0.2,30
1981,Mad Men,0.27,45
1981,Lorax,0.13,30
1981,Pony,0.1,30
1980,Walking Dead,2.85,40
1980,Lost,0.87,45
1980,Weeds,0.13,30
1980,Pony,0.1,30
1980,Lorax,0.1,30
1980,Mad Men,0.04,45
1979,Walking Dead,3.02,40
1979,Lost,1.18,45
1979,Weeds,0.17,30
1979,Lorax,0.17,30
1979,Mad Men,0.27,45
1979,Pony,0.1,30
1978,Walking Dead,3.27,40
1978,Lost,1.4,45
1978,Weeds,0.3,30
1978,Mad Men,0.49,45
1978,Pony,0.13,30
1978,Lorax,0.1,30
1977,Walking Dead,2.73,40
1977,Lost,1,45
1977,Weeds,0.37,30
1977,Mad Men,0.67,45
1977,Lorax,0.07,30
1977,Pony,0.03,30
1976,Walking Dead,2.53,40
1976,Lost,0.69,45
1976,Weeds,0.27,30
1976,Mad Men,0.44,45
1976,Pony,0.17,30
1976,Lorax,0.1,30
1975,Walking Dead,3.07,40
1975,Lost,1.22,45
1975,Weeds,0.17,30
1975,Pony,0.1,30
1975,Mad Men,0.18,45
1975,Lorax,0.03,30
1974,Walking Dead,2.93,40
1974,Lost,1.04,45
1974,Weeds,0.3,30
1974,Pony,0.2,30
1974,Lorax,0.17,30
1974,Mad Men,0.22,45
1973,Walking Dead,2.62,40
1973,Lost,0.62,45
1973,Pony,0.2,30
1973,Lorax,0.13,30
1973,Weeds,0.03,30
1973,Mad Men,0,45
1972,Walking Dead,2.95,40
1972,Lost,1.13,45
1972,Lorax,0.23,30
1972,Pony,0.17,30
1972,Weeds,0.07,30
1972,Mad Men,0,45
1971,Walking Dead,3,40
1971,Lost,1.2,45
1971,Weeds,0.23,30
1971,Lorax,0.17,30
1971,Pony,0.1,30
1971,Mad Men,0.13,45
1970,Walking Dead,3.17,40
1970,Lost,1.27,45
1970,Weeds,0.27,30
1970,Mad Men,0.44,45
1970,Lorax,0.1,30
1970,Pony,0.07,30
1969,Walking Dead,2.85,40
1969,Lost,1.07,45
1969,Pony,0.13,30
1969,Lorax,0.1,30
1969,Mad Men,0,45
1969,Weeds,0,30
1968,Walking Dead,3.28,40
1968,Lost,1.51,45
1968,Pony,0.23,30
1968,Weeds,0.2,30
1968,Lorax,0.13,30
1968,Mad Men,0.22,45
1967,Walking Dead,3.2,40
1967,Lost,1.53,45
1967,Mad Men,0.4,45
1967,Weeds,0.2,30
1967,Pony,0.1,30
1967,Lorax,0.03,30
1966,Walking Dead,3.05,40
1966,Lost,1.33,45
1966,Weeds,0.33,30
1966,Mad Men,0.62,45
1966,Pony,0.03,30
1966,Lorax,0.03,30
1965,Walking Dead,2.83,40
1965,Lost,0.82,45
1965,Weeds,0.33,30
1965,Mad Men,0.49,45
1965,Pony,0.2,30
1965,Lorax,0.13,30
1964,Walking Dead,3.3,40
1964,Lost,1.33,45
1964,Weeds,0.17,30
1964,Pony,0.13,30
